Info 0    [18:29:0.754] Format host information updated
Info 1    [18:29:0.756] reload projects.
Info 2    [18:29:0.756] Before ensureProjectForOpenFiles:
Info 3    [18:29:0.764] After ensureProjectForOpenFiles:
Info 4    [18:29:0.765] Host file extension mappings updated
Info 5    [18:29:0.822] Search path: /home/youssef/Downloads/automotive
Info 6    [18:29:0.828] For info: /home/youssef/Downloads/automotive/index.htm :: No config files found.
Info 7    [18:29:0.840] Loading global plugin @angular/language-service
Info 8    [18:29:0.840] Enabling plugin @angular/language-service from candidate paths: /home/youssef/.vscode/extensions/angular.ng-template-0.1001.0/server/node_modules/@angular/language-service/bundles/language-service.js,/home/youssef/.vscode/extensions/angular.ng-template-0.1001.0/node_modules/typescript/lib/tsserverlibrary.js/../../..
Info 9    [18:29:0.840] Loading @angular/language-service from /home/youssef/.vscode/extensions/angular.ng-template-0.1001.0/server/node_modules/@angular/language-service/bundles/language-service.js (resolved to /home/youssef/.vscode/extensions/angular.ng-template-0.1001.0/server/node_modules/@angular/language-service/bundles/language-service.js/node_modules)
Info 10   [18:29:1.110] Plugin validation succeded
Info 11   [18:29:1.118] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [18:29:9.722] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 8604ms
Info 13   [18:29:9.723] Project '/dev/null/inferredProject1*' (Inferred)
Info 14   [18:29:9.723] 	Files (6)

Info 15   [18:29:9.723] -----------------------------------------------
Info 16   [18:29:10.462] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [18:29:10.495] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 33ms
Info 18   [18:29:10.495] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 19   [18:29:12.706] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [18:29:12.736] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 30ms
Info 21   [18:29:12.736] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 22   [18:29:14.956] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [18:29:14.977] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 21ms
Info 24   [18:29:14.977] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 25   [18:29:15.384] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [18:29:15.396] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 12ms
Info 27   [18:29:15.396] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 28   [18:29:15.792] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [18:29:15.808] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 16ms
Info 30   [18:29:15.808] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 31   [18:29:15.979] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [18:29:15.993] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 13ms
Info 33   [18:29:15.993] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 34   [18:29:16.699] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 35   [18:29:16.727] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 27ms
Info 36   [18:29:16.727] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 37   [18:29:16.921] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 38   [18:29:16.930] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 9ms
Info 39   [18:29:16.930] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 40   [18:29:17.163] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 41   [18:29:17.176] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 13ms
Info 42   [18:29:17.176] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 43   [18:29:17.402] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 44   [18:29:17.412] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 10ms
Info 45   [18:29:17.412] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 46   [18:29:17.606] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 47   [18:29:17.616] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 10ms
Info 48   [18:29:17.617] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 49   [18:29:17.984] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 50   [18:29:18.4] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 20ms
Info 51   [18:29:18.4] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 52   [18:29:18.102] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 53   [18:29:18.114] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 12ms
Info 54   [18:29:18.114] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 55   [18:29:18.929] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 56   [18:29:18.952] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 23ms
Info 57   [18:29:18.952] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 58   [18:29:19.17] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 59   [18:29:19.25] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 8ms
Info 60   [18:29:19.26] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 61   [18:29:19.492] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 62   [18:29:19.501] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 9ms
Info 63   [18:29:19.501] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 64   [18:29:20.126] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 65   [18:29:20.145] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 18ms
Info 66   [18:29:20.146] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 67   [18:29:20.304] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 68   [18:29:20.315] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 11ms
Info 69   [18:29:20.316] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 70   [18:29:20.392] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 71   [18:29:20.407] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 15ms
Info 72   [18:29:20.407] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 73   [18:29:23.113] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 74   [18:29:23.130] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 16ms
Info 75   [18:29:23.131] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 76   [18:29:23.346] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 77   [18:29:23.366] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 20ms
Info 78   [18:29:23.366] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 79   [18:29:23.754] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 80   [18:29:23.766] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 12ms
Info 81   [18:29:23.766] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 82   [18:29:23.900] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 83   [18:29:23.909] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 9ms
Info 84   [18:29:23.909] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 85   [18:29:24.21] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 86   [18:29:24.30] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 9ms
Info 87   [18:29:24.30] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 88   [18:29:25.63] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 89   [18:29:25.82] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 19ms
Info 90   [18:29:25.89] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 91   [18:29:25.507] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 92   [18:29:25.519] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false Elapsed: 12ms
Info 93   [18:29:25.519] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 94   [18:29:25.749] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 95   [18:29:25.796] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false Elapsed: 47ms
Info 96   [18:29:25.796] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 97   [18:29:26.213] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 98   [18:29:26.245] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false Elapsed: 32ms
Info 99   [18:29:26.245] Different program with same set of files:: oldProgram.structureIsReused:: 2
